feed_id,label,prefcode,prefname,official,feed_page_url,feed_LastUpdate,license_name,fixed_url,feed_url,zip_name,feed_note,feed_version_note
f1000602,群馬中央バス,10,群馬県,1,http://gunmachuobus.co.jp/publics/index/53/,20201222,CC BY 4.0,0,http://gunmachuobus.co.jp/publics/download/?file=/files/content_type/type019/173/202012221530214962.zip,202012221530214962.zip,・群馬県オープンデータサイトにリンク掲載あり;・高崎市内循環バスぐるりん（群馬中央バス担当路線）を含む,2020/12/22～
f1000701,矢島タクシー,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20200422,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1017.yajima_taxi.zip,gtfs.1017.yajima_taxi.zip,,2020/4/25改正
f1000801,草軽交通,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210423,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.2002.kusakaru.zip,gtfs.2002.kusakaru.zip,,2021/3/10改正
f1000901,国際十王交通（伊勢崎営業所）,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20200414,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1103.kokusai_juuou.GMA.zip,gtfs.1103.kokusai_juuou.GMA.zip,,
f1001001,JRバス関東（長野原支店）,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20200424,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1302.jr_bus_kanto.GMA.zip,gtfs.1302.jr_bus_kanto.GMA.zip,,
f1001101,西武観光バス（軽井沢営業所）,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210423,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1115.seibu_kanko.GMA.zip,gtfs.1115.seibu_kanko.GMA.zip,,2021/4/21改正
f1001201,朝日バス（本庄営業所・太田営業所）,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210203,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1106.asahi_bus.GMA.zip,gtfs.1106.asahi_bus.GMA.zip,,2021/2/14改正
f1001301,前橋市内コミュニティバス（マイバス、その他）,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210303,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1019.maebashishi_com.zip,gtfs.1019.maebashishi_com.zip,マイバス北循環線，南循環線（西循環線，東循環線は永井バスデータに収録）,2021/3/3～（3/13改正）
f1001401,高崎市内循環バス「ぐるりん」・はるバス・よしいバス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20201210,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1020.takasakishi_com.zip,gtfs.1020.takasakishi_com.zip,,2020/1/14改正（よしいバス）
f1001501,桐生市　おりひめバス,10,群馬県,1,https://gma.jcld.jp/GMA_OPENDATA/,20210331,CC BY 4.0,1,https://gma.jcld.jp/GMA_OPENDATA/GTFS/gtfs.1025.kiryushi_com.zip,gtfs.1025.kiryushi_com.zip,,2021/4/1改正
