feed_id,label,prefcode,prefname,official,feed_page_url,feed_LastUpdate,fixed_url,license_name,feed_url,feed_note,feed_version_note
f3300501,中鉄バス,33,岡山県,1,https://loc.bus-vision.jp/ryobi/view/opendata.html,20201228,1,CC BY 4.0,https://loc.bus-vision.jp/gtfs/chutetsu/gtfsFeed,β版,2020/12/28～
f3300601,赤磐市広域路線バス,33,岡山県,1,https://www.city.akaiwa.lg.jp/kurashi/kokyokotsu/bus/5901.html,20201116,0,CC 0,https://www.city.akaiwa.lg.jp/material/files/group/5/GTFS-JP_201101.zip,,2020/11/1改正
f3300701,真庭市コミュニティバス『まにわくん』,33,岡山県,1,http://www.okayama-opendata.jp/opendata/ga120PreAction.action?keyTitle=8a25b215405f4c998c00bac3a02e0d88913224ec&datasetId=91909724-ff44-4602-83a8-946ec4fdc663,20200630,1,CC BY 4.0,http://www.okayama-opendata.jp/ckan/dataset/91909724-ff44-4602-83a8-946ec4fdc663/resource/18786170-acd3-46dc-ab7e-8c2bbaef33bb/download/maniwakunhyoujuntekibasujouhoufu304930fcmatsuto.zip,,
f3400101,江田島バス,34,広島県,1,https://etajimabus.jp/publics/index/43/,20201216,1,CC BY 4.0,https://etajimabus.jp/relays/download/43/250/13/396/?file=/files/libs/396/202003041224545547.zip,,2020/10/1改正（12/16修正）
f3400201,芸陽バス,34,広島県,1,http://www.geiyo.co.jp/Unyu/gtfs/index.htm,20210125,0,CC BY 4.0,http://www.geiyo.co.jp/Unyu/gtfs/GTFS-JP20210201geiyobus.zip,,2021/2/1改正
f3600601,四国交通,36,徳島県,1,https://yonkoh.co.jp/archives/info/gtfs20210201,20210201,1,CC BY 4.0,https://yonkoh.co.jp/wp/gtfs/gtfs.zip,,
f3700101,西讃観光　高松空港リムジンバス,37,香川県,1,https://www.rosenzu.com/~gtfs/seisankanko/index.html,20200402,1,CC BY 4.0,https://www.rosenzu.com/~gtfs/seisankanko/seisankanko_GTFS.zip,,2020/4/1改正
f3700201,高松琴平電鉄（ことでん）,37,香川県,1,http://www.kotoden.co.jp/publichtm/gtfs/index.html,20210120,1,CC BY 4.0,http://www.kotoden.co.jp/publichtm/gtfs/gtfsdata/latest/gtfs_kd.zip,,2020/11/28改正（伏石駅開業）
f3700301,ことでんバス　リムジンバス,37,香川県,1,http://www.kotoden.co.jp/publichtm/gtfs/index.html,20210225,1,CC BY 4.0,http://www.kotoden.co.jp/publichtm/gtfs/gtfsdata/latest/gtfs_kbl.zip,,2021/3/1改正
f3700302,ことでんバス　一般路線,37,香川県,1,http://www.kotoden.co.jp/publichtm/gtfs/index.html,20210125,1,CC BY 4.0,http://www.kotoden.co.jp/publichtm/gtfs/gtfsdata/latest/gtfs_kbi.zip,,2021/1/16改正（1/25減便）
f3900101,宿毛市　はなちゃんバス,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20201214,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Sukumo-Hanachan.zip,,2020/12/1改正
f3900102,宿毛市　沖の島循環バス（ゆるりんバス）,39,高知県,1,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/,20201214,1,CC BY 4.0,https://www.pref.kochi.lg.jp/opendata/docs/bosai_anzen_machizukuri/file_contents/GTFSJP-Sukumo-Yururin-Bus.zip,,2020/9/5改正（11/20～）
